seed,model,accuracy,precision,recall,f1,train_seconds
42,linear_head,0.9938,0.9938,0.9938,0.9937,36.9
42,resnet18_ft,0.9906,0.9910,0.9906,0.9906,66.6
42,densenet121_ft,0.9969,0.9969,0.9969,0.9969,178.7
42,simple_cnn,0.9719,0.9725,0.9719,0.9720,49.8
42,hybrid,0.9969,0.9969,0.9969,0.9969,235.1
123,linear_head,0.9875,0.9878,0.9875,0.9875,37.7
123,resnet18_ft,0.9938,0.9939,0.9938,0.9938,64.2
123,densenet121_ft,1.0000,1.0000,1.0000,1.0000,170.0
123,simple_cnn,0.9719,0.9723,0.9719,0.9719,80.5
123,hybrid,0.9906,0.9908,0.9906,0.9906,211.5
456,linear_head,0.9938,0.9938,0.9938,0.9937,35.8
456,resnet18_ft,1.0000,1.0000,1.0000,1.0000,64.5
456,densenet121_ft,0.9969,0.9969,0.9969,0.9969,168.8
456,simple_cnn,0.9688,0.9709,0.9688,0.9688,72.6
456,hybrid,0.9938,0.9938,0.9938,0.9937,210.8
