seed,model,accuracy,precision,recall,f1,train_seconds
42,linear_head,0.8566,0.8584,0.8573,0.8545,189.8
42,resnet18_ft,0.9182,0.9202,0.9185,0.9185,259.9
123,linear_head,0.8830,0.8842,0.8836,0.8831,188.6
123,resnet18_ft,0.9472,0.9489,0.9475,0.9469,255.8
456,linear_head,0.8943,0.8961,0.8948,0.8944,199.9
456,resnet18_ft,0.9472,0.9477,0.9475,0.9473,235.1
42,hybrid,0.7044,0.6938,0.7053,0.6688,3267.5
123,hybrid,0.6503,0.6619,0.6521,0.6131,3438.9
456,hybrid,0.7296,0.7426,0.7308,0.7146,3446.0
42,densenet121_ft,0.9711,0.9721,0.9713,0.9709,429.9
42,simple_cnn,0.7358,0.7497,0.7372,0.7368,115.3
123,densenet121_ft,0.9648,0.9655,0.9650,0.9649,430.5
123,simple_cnn,0.7799,0.7793,0.7812,0.7778,116.2
456,densenet121_ft,0.9786,0.9792,0.9788,0.9786,443.7
456,simple_cnn,0.8075,0.8169,0.8085,0.8053,184.8
