seed,model,accuracy,precision,recall,f1,train_seconds
42,hybrid,0.7761,0.7728,0.7772,0.7732,40241.5
123,hybrid,0.7635,0.7601,0.7643,0.7566,23810.0
456,hybrid,0.8226,0.8268,0.8233,0.8196,18858.2
42,linear_head,0.8566,0.8584,0.8573,0.8545,216.3
42,resnet18_ft,0.9321,0.9358,0.9321,0.9323,284.0
42,densenet121_ft,0.9610,0.9626,0.9613,0.9612,551.9
42,simple_cnn,0.7459,0.7534,0.7468,0.7428,221.9
123,linear_head,0.8830,0.8842,0.8836,0.8831,238.6
123,resnet18_ft,0.9610,0.9613,0.9613,0.9608,277.9
123,densenet121_ft,0.9535,0.9580,0.9537,0.9532,523.9
123,simple_cnn,0.7673,0.7767,0.7688,0.7665,205.2
456,linear_head,0.8943,0.8961,0.8948,0.8944,186.7
456,resnet18_ft,0.9522,0.9558,0.9523,0.9517,241.1
456,densenet121_ft,0.9686,0.9686,0.9688,0.9685,517.4
456,simple_cnn,0.8038,0.8047,0.8047,0.8011,204.5
